iter	PRAUC	Logloss
0	0.8722101948	0.6738243902
1	0.8873055219	0.6550144678
2	0.8909078451	0.63711723
3	0.895413139	0.6179917393
4	0.8967525456	0.6034779007
5	0.9011046374	0.5892441346
6	0.9006576747	0.5777951463
7	0.9001595517	0.566948443
8	0.8999374401	0.5543760378
9	0.9010669224	0.5459876099
10	0.9004571246	0.5387605753
11	0.9008924923	0.5292041342
12	0.9017312324	0.5204508501
13	0.9015596163	0.5130232067
14	0.9018552533	0.506142471
15	0.9022175387	0.4992476898
16	0.902638804	0.493102169
17	0.9027352861	0.4877065529
18	0.9021363188	0.4811458004
19	0.9019402107	0.4758143347
20	0.902183275	0.4707514854
21	0.9027803653	0.4651838661
22	0.9033707165	0.4595222008
23	0.9036219223	0.4549404656
24	0.9039076935	0.4512300254
25	0.9041410117	0.4466803509
26	0.9050093156	0.4430403651
27	0.905462173	0.440190793
28	0.9059902129	0.4376055233
29	0.9059973868	0.4349086651
30	0.9063599258	0.43132885
31	0.9064379145	0.428180853
32	0.9063547993	0.4268106657
33	0.9066990668	0.4243854704
34	0.906852332	0.4214803239
35	0.9074608654	0.4187526187
36	0.9076290138	0.4167467471
37	0.9079341171	0.4153471458
38	0.9081889213	0.4140288009
39	0.9084841457	0.4124289267
40	0.9089922308	0.4106798238
41	0.9094862405	0.4085398342
42	0.9100949585	0.4056537163
43	0.9101687709	0.4047037041
44	0.9107348393	0.4032084516
45	0.9108623636	0.4014980845
46	0.9109167202	0.4002880348
47	0.9109104148	0.3996460329
48	0.9113772679	0.3977416644
49	0.911753432	0.395687191
50	0.9118242124	0.3939231888
51	0.9123975977	0.3930136631
52	0.9125772372	0.3916603124
53	0.9128258468	0.3900455893
54	0.9131162039	0.3887424914
55	0.9131925661	0.3879587139
56	0.9132528531	0.386684022
57	0.9134633814	0.3853163099
58	0.913769597	0.3843262883
59	0.9139240466	0.3835539779
60	0.914021856	0.382190962
61	0.9142086065	0.3810991865
62	0.9145112111	0.3799785166
63	0.9147399391	0.3793815747
64	0.9149478094	0.3783622631
65	0.915141667	0.3773632571
66	0.9153567486	0.3765627249
67	0.9157343024	0.3757328629
68	0.9159271908	0.3748636379
69	0.9162408926	0.3739877504
70	0.9163995268	0.3730570481
71	0.9166502766	0.3725716875
72	0.9167493175	0.3716179377
73	0.9170595151	0.3707268918
74	0.9170374695	0.3702548392
75	0.9171470709	0.3697236727
76	0.9174485393	0.3686355812
77	0.9177016279	0.3680503886
78	0.917832561	0.3675836963
79	0.9179997039	0.3670524988
80	0.9181017558	0.3663955324
81	0.918288786	0.365697354
82	0.9184147974	0.3651084941
83	0.9184684093	0.3647176065
84	0.9186072449	0.3642237519
85	0.9187410683	0.3638938768
86	0.918853902	0.3633667591
87	0.9191587532	0.3627203136
88	0.9193186736	0.362254037
89	0.9193739049	0.3618893345
90	0.9196250903	0.3614307279
91	0.9197231655	0.3610011366
92	0.9198877449	0.3603496018
93	0.9201575196	0.3595068123
94	0.9202581942	0.3589712414
95	0.9204913186	0.3580017617
96	0.9205593823	0.3577599009
97	0.9208075882	0.3570277546
98	0.9209507721	0.3565518839
99	0.921058308	0.3562600566
100	0.9211510528	0.3559724707
101	0.9212054522	0.3557742312
102	0.9213524425	0.3553582035
103	0.9214543654	0.3550306234
104	0.9215324396	0.3543201741
105	0.9216744503	0.3539254344
106	0.9218100987	0.353460168
107	0.921906712	0.3532150576
108	0.9220288814	0.3527853855
109	0.9221926363	0.3522845733
110	0.9222878813	0.3520180176
111	0.9223913503	0.3517317879
112	0.9224850467	0.3514692365
113	0.9225744189	0.3511251028
114	0.922649155	0.3505651039
115	0.9228069008	0.3500514829
116	0.9229724992	0.3495398446
117	0.9230546169	0.3493700349
118	0.9232325881	0.3485866033
119	0.923451614	0.3479621637
120	0.9235490155	0.3477075248
121	0.9238654086	0.3468526583
122	0.924022167	0.3465249312
123	0.9240866347	0.3463039766
124	0.9242585738	0.3458820531
125	0.924418362	0.3455011949
126	0.9246082326	0.3450721109
127	0.9247219444	0.3447461936
128	0.924847939	0.3443088218
129	0.9248350848	0.3442394975
130	0.9250438464	0.3437106863
131	0.9252215132	0.3433607499
132	0.9252751362	0.343182583
133	0.9254248875	0.3426075021
134	0.9254890313	0.3423612165
135	0.9255873099	0.3419026804
136	0.9256418686	0.341643003
137	0.9257944103	0.3413430688
138	0.9259563509	0.3408818258
139	0.9260571091	0.3405797907
140	0.9261161158	0.3404098891
141	0.9261903147	0.34022331
142	0.9263214521	0.3399479863
143	0.9264060577	0.3396978563
144	0.9264822027	0.3394454824
145	0.926535158	0.3393267747
146	0.9266115569	0.3391163602
147	0.9267807903	0.3387264705
148	0.9268851982	0.3385796021
149	0.9269388093	0.3383984119
150	0.9270213303	0.3382089563
151	0.9271380624	0.3378962928
152	0.9273150215	0.3375511388
153	0.927368825	0.3372801596
154	0.927455682	0.3370825312
155	0.927531214	0.3368862657
156	0.9277106078	0.3365282423
157	0.9278083319	0.3362609216
158	0.9279333503	0.33601127
159	0.9280822013	0.3353893689
160	0.9281634355	0.3351726249
161	0.9281540968	0.3351425768
162	0.9282508903	0.3348138139
163	0.9283007984	0.3346835426
164	0.9283647219	0.3343939248
165	0.9284561977	0.3341400327
166	0.9285393041	0.3339570335
167	0.9285728247	0.3338758522
168	0.9286104786	0.3336868628
169	0.9287236825	0.3334096602
170	0.9288155091	0.3331419184
171	0.9288687846	0.3330211212
172	0.9289723065	0.3327919178
173	0.9290241379	0.3326186921
174	0.92910485	0.33244381
175	0.9292903646	0.33210411
176	0.9293787281	0.3319493462
177	0.929430778	0.331830653
178	0.9294855947	0.3316385447
179	0.9295220802	0.3315068453
180	0.9295951323	0.3313506447
181	0.9296527782	0.3310838637
182	0.9296967838	0.3309793074
183	0.9298639388	0.3305673107
184	0.929904197	0.3304150593
185	0.9299650834	0.3301961376
186	0.9300012535	0.3300518495
187	0.9300345962	0.3299448022
188	0.9301271789	0.3297799523
189	0.930192761	0.3295744797
190	0.9302323049	0.3294347755
191	0.9303526001	0.3291890831
192	0.9304156745	0.3289991509
193	0.9307302603	0.3284561233
194	0.9307669669	0.328335875
195	0.9308412528	0.328067626
196	0.9309581431	0.3278581064
197	0.9310662322	0.3276737889
198	0.9311297674	0.3275116075
199	0.9311699106	0.3274390545
200	0.9312555418	0.3272281984
201	0.9312958642	0.32708021
202	0.9313487326	0.3269485014
203	0.931441153	0.3267094543
204	0.9314668952	0.3265938391
205	0.9315972553	0.3263165577
206	0.9316836024	0.3261375821
207	0.9317983532	0.3257773389
208	0.9318945048	0.3255527517
209	0.9320108278	0.3252943485
210	0.932055315	0.3252206237
211	0.9321215472	0.3250407397
212	0.9322090918	0.3248211848
213	0.9323089699	0.3246044963
214	0.9324040592	0.3243868865
215	0.9325258471	0.3241920651
216	0.9326514489	0.3239864714
217	0.9327475906	0.3238291614
218	0.9327777744	0.3237034708
219	0.9328506131	0.3235639172
220	0.9328885814	0.323475329
221	0.9329943683	0.3232033595
222	0.9330379563	0.3230872144
223	0.9330666114	0.3229787205
224	0.933135746	0.3228159461
225	0.9331456937	0.3227940457
226	0.9332316203	0.3224784023
227	0.9333439118	0.3222910846
228	0.9333766358	0.3222017601
229	0.9334278372	0.3220664226
230	0.9335585493	0.3216822469
231	0.9336690079	0.3214248298
232	0.9337876224	0.321088904
233	0.9338345401	0.3209756872
234	0.9339547503	0.3206269442
235	0.9339632454	0.3205918883
236	0.9340401519	0.3203850163
237	0.9340418396	0.3203825665
238	0.9341062533	0.320225056
239	0.9341471043	0.3201343832
240	0.9342154847	0.3199912281
241	0.9343210584	0.319652841
