iter	Passed	Remaining
0	624	623856
1	884	441452
2	1105	367302
3	1340	333666
4	1542	306875
5	1804	298928
6	2033	288433
7	2348	291273
8	2615	288045
9	2994	296460
10	3325	299016
11	3713	305715
12	3830	290832
13	3984	280610
14	4091	268682
15	4227	259966
16	4366	252476
17	4485	244731
18	4613	238226
19	4782	234354
20	4952	230896
21	5074	225605
22	5154	218954
23	5237	212984
24	5321	207538
25	5413	202789
26	5493	197975
27	5575	193541
28	5649	189146
29	5729	185249
30	5821	181961
31	5900	178478
32	5963	174757
33	6046	171801
34	6128	168967
35	6214	166421
36	6286	163614
37	6366	161180
38	6434	158554
39	6515	156373
40	6611	154653
41	6696	152743
42	6786	151033
43	6873	149348
44	6978	148089
45	7054	146311
46	7135	144677
47	7213	143072
48	7294	141575
49	7373	140103
50	7445	138546
51	7526	137214
52	7605	135886
53	7697	134843
54	7786	133790
55	7864	132572
56	7945	131450
57	8051	130760
58	8130	129667
59	8214	128687
60	8296	127711
61	8380	126782
62	8465	125906
63	8551	125072
64	8627	124104
65	8721	123416
66	8801	122560
67	8880	121720
68	8962	120933
69	9053	120287
70	9137	119563
71	9224	118898
72	9300	118105
73	9379	117376
74	9457	116641
75	9540	115995
76	9626	115397
77	9707	114751
78	9788	114115
79	9868	113487
80	9950	112898
81	10047	112482
82	10128	111901
83	10196	111186
84	10276	110618
85	10355	110062
86	10434	109503
87	10516	108989
88	10595	108460
89	10681	107997
90	10780	107683
91	10868	107268
92	10958	106874
93	11046	106470
94	11133	106057
95	11221	105670
96	11291	105118
97	11376	104706
98	11452	104233
99	11532	103793
100	11613	103368
101	11677	102803
102	11766	102472
103	11849	102089
104	11934	101726
105	12026	101427
106	12116	101124
107	12195	100727
108	12277	100362
109	12360	100008
110	12445	99676
111	12524	99298
112	12606	98953
113	12690	98632
114	12782	98366
115	12854	97957
116	12938	97650
117	13009	97237
118	13096	96955
119	13178	96640
120	13254	96289
121	13352	96091
122	13430	95759
123	13515	95478
124	13597	95184
125	13691	94971
126	13824	95031
127	13970	95171
128	14137	95457
129	14232	95244
130	14389	95452
131	14547	95661
132	14701	95834
133	14830	95845
134	14991	96059
135	15156	96288
136	15305	96415
137	15465	96603
138	15636	96855
139	15771	96884
140	15905	96902
141	16068	97088
142	16238	97316
143	16381	97379
144	16531	97479
145	16686	97603
146	16844	97742
147	17000	97866
148	17145	97922
149	17312	98106
150	17466	98204
151	17574	98048
152	17659	97759
153	17741	97463
154	17826	97182
155	17909	96893
156	17990	96597
157	18068	96287
158	18159	96051
159	18250	95812
160	18345	95604
161	18365	95002
162	18447	94726
163	18530	94458
164	18620	94229
165	18693	93917
166	18775	93651
167	18862	93416
168	18941	93136
169	19024	92881
170	19109	92643
171	19189	92375
172	19273	92134
173	19368	91945
174	19461	91744
175	19549	91525
176	19623	91243
177	19701	90979
178	19786	90751
179	19870	90522
180	19956	90299
181	20051	90119
182	20113	89794
183	20204	89601
184	20289	89385
185	20374	89166
186	20466	88980
187	20542	88726
188	20636	88552
189	20728	88370
190	20808	88134
191	20897	87943
192	20975	87706
193	21047	87445
194	21098	87097
195	21189	86918
196	21276	86726
197	21356	86504
198	21441	86302
199	21477	85909
200	21561	85711
201	21649	85525
202	21730	85315
203	21825	85161
204	21895	84911
205	21977	84707
206	22052	84480
207	22135	84287
208	22219	84094
209	22300	83893
210	22379	83684
211	22474	83536
212	22552	83329
